seed,stratum,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,source_fires_a,source_fires_b,drive_deliveries,modulatory_deliveries,eligibility,modes,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,replay,passed
7103,S00,law,ordinary-drive-after-participation,2046998324707328,0,0,1,1,1,1,true,true,1,0,1,0,7,0,a=Some(4)|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,135,0,0,5,0,1888,10008749053822165077,8097423539566649791,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,modulation-without-eligibility,2046998325755904,0,0,1,1,1,1,true,true,0,0,0,0,1,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,27,0,0,1,0,1888,3420735250703178098,13955795991686151871,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,timely-modulatory-return,2046998326804480,1,0,4,1,2,1,true,true,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,136,1,0,5,0,1888,6495503167077056571,6580355425326736145,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,strong-modulation-does-not-excite,2046998327853056,0,0,1,1,1,1,true,true,0,0,0,0,1,1,a=None|b=None,strong_return=Modulatory:coupling4|candidate=Drive,a1|b1,28,0,0,1,0,2000,14966163439886452185,8604117066821992266,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,dense-ordinary-nonleakage,2046998328901632,0,0,1,1,1,1,true,true,2,1,2,1,23,0,a=Some(5)|b=Some(5),candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,520,0,0,16,0,1888,6686293653340034593,1886269931700553535,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,fixed-routes-r0-drive-r1-modulatory,2046998329950208,1,0,4,1,2,1,true,true,1,0,1,0,8,1,a=None|b=None,r0=Drive|r1=Modulatory|candidate=Drive,a1|b1,185,1,0,6,0,2112,6327523417815936621,10440254771754105,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,fixed-routes-r0-modulatory-r1-drive,2046998330998784,1,0,4,1,2,1,true,true,1,0,1,0,8,1,a=None|b=None,r0=Modulatory|r1=Drive|candidate=Drive,a1|b1,185,1,0,6,0,2112,10882406172696044261,4472258197757728793,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,two-completed-modulatory-returns,2046998332047360,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b2,313,2,0,10,1,1888,12051878517378564238,2109576197837628761,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,two-local-eligible-candidates,2046998333095936,1,1,4,4,2,2,true,true,1,1,1,0,7,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,171,2,0,6,0,2000,6506141495420363104,12377014787590764136,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,expired-eligibility-modulation,2046998334144512,0,0,0,1,1,1,false,true,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a2|b1,137,0,0,5,1,1888,3192651347560181288,11817407104737005652,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,simultaneous-drive-and-modulation,2046998335193088,1,0,4,1,2,1,true,true,2,0,2,0,11,1,a=Some(8)|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,252,1,0,9,0,1888,10445082192053514328,16689689377680833041,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,law,dense-parallel-crossed-routes,2046998336241664,1,0,4,1,2,1,true,true,2,2,2,2,29,1,a=None|b=Some(5),candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,729,1,0,21,0,1888,18249766933704995113,9396364529709365041,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,px0,acquisition,2046998341484544,0,0,11,0,2,1,true,false,4,0,4,0,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,535,4,0,20,1,992,16924603973880461097,1227753691467103250,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,px0,probation,2046998342533120,0,0,0,0,2,1,false,false,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,109,1,0,5,2,992,2285495006213392724,15744659682162590205,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,px0,stable-return-specificity,2046998343581696,0,0,4,1,2,1,true,true,1,1,1,1,11,1,a=None|b=Some(4),candidate=Drive|return=Modulatory,a1|b1,180,1,0,9,0,992,9681789266477230376,15632218830665500775,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,px0,forgetting,2046998344630272,0,0,0,0,2,1,false,false,4,0,4,0,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,553,4,0,20,2,992,2763677614608780850,11859022343125237214,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
7103,S00,px0,fresh-reproposal,2046998345678848,0,0,1,0,1,0,true,false,4,0,2,0,7,0,fresh=Some(15),candidate=Drive|return=Modulatory,old2|fresh6,85,0,0,6,1,560,1739473134681949687,9122491798207484417,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
